Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
Abstract,,,,,
Attribute,,,,,
Continuant,,,,,
Entity,,,,,
Object,,,,,
Occurrent,,,,,
Physical,,,,,
Process,,,,,
Relation,,,,,
Process,Motion,Stretching,,,
Object,Artifact,String,,,
Attribute,InternalAttribute,StructureAttribute,,,
Abstract,Proposition,SuffrageLaw,,,
Process,InternalChange,SurfaceChange,,,
Physical,Collection,SurveillanceSystem,,,
Process,CognitiveProcess,SwarmCoordinationProcess,,,
Process,Motion,Swarming,,,
Process,IntentionalProcess,Swimming,,,
Relation,BinaryRelation,SymmetricRelation,,,
Abstract,Proposition,TPFDD,,,
Attribute,PhysicalQuantity,Temperature,,,
Relation,,TemporalRelation,,,
Relation,InheritableRelation,TernaryFunction,,,
Relation,InheritableRelation,TernaryPredicate,,,
Relation,,TernaryRelation,,,
Attribute,InternalAttribute,TerrainAttribute,,,
Object,Artifact,Text,,,
Object,Artifact,TextileProduct,,,
Process,CognitiveProcess,TheoryOfMindProcess,,,
Process,InternalChange,TidalProcess,,,
Process,IntentionalProcess,Tilling,,,
Attribute,RelationalAttribute,TimeZone,,,
Object,Artifact,TobaccoProduct,,,
Process,IntentionalProcess,TokenProcessing,,,
Entity,AbstractEntity,TopologicalSpace,,,
Relation,,TotalValuedRelation,,,
Attribute,InternalAttribute,TrackGauge,,,
Process,CognitiveProcess,TradecraftReasoningProcess,,,
Physical,Collection,Train,,,
Entity,AbstractEntity,Trajectory,,,
Relation,BinaryRelation,TransitiveRelation,,,
Object,Region,Transitway,,,
Process,Motion,Translocation,,,
Relation,BinaryRelation,TrichotomizingRelation,,,
Process,Motion,Trip,,,
Attribute,RelationalAttribute,TruthValue,,,
Object,Artifact,Tube,,,
Process,InternalChange,TurningOffDevice,,,
Process,InternalChange,TurningOnDevice,,,
Process,Motion,TwoStrokeCompression,,,
Process,Motion,TwoStrokeIntake,,,
Process,Motion,TwoStrokeTransfer,,,
Relation,BinaryRelation,UnaryFunction,,,
Object,AutonomousAgent,Undertaking,,,
Object,Region,UnderwaterRegion,,,
Attribute,PhysicalQuantity,UnitOfMeasure,,,
Entity,AbstractEntity,UpdateRule,,,
Process,IntentionalProcess,UserAction,,,
Object,Artifact,VehicleSeat,,,
Object,Artifact,VehicleTire,,,
Object,Artifact,Veneer,,,
Entity,Game,VideoGame,,,
Physical,Collection,VisitorProfile,,,
Attribute,InternalAttribute,VolcanoStatus,,,
Entity,AbstractEntity,Walk,,,
Object,Artifact,WaterCatchment,,,
Entity,AbstractEntity,WaveEquation,,,
Attribute,PhysicalQuantity,WaveParameter,,,
Process,CognitiveProcess,WaveReasoningProcess,,,
Object,Artifact,WearableItem,,,
Process,Motion,WeatherProcess,,,
Attribute,InternalAttribute,WebDocumentAttribute,,,
Physical,Collection,WebListingCategory,,,
Physical,Collection,WebStore,,,
Object,Artifact,WetBar,,,
Object,Artifact,Wheel,,,
Object,Artifact,Window,,,
Object,Artifact,WindowCovering,,,
Object,Artifact,Wire,,,
Attribute,PhysicalQuantity,Work,,,
Process,IntentionalProcess,WorkLeave,,,
Attribute,RelationalAttribute,YieldAttribute,,,
Object,Artifact,ZincArtifact,,,
Abstract,Proposition,FieldOfStudy,AIAlignmentTheory,,
Entity,,AIArtifact,AIDataset,,
Process,IntentionalProcess,ComputationalProcess,AIFailureProcess,,
Abstract,,,AIModel,,
Process,IntentionalProcess,ComputationalProcess,AIOptimizationProcess,,
Attribute,RelationalAttribute,NormativeAttribute,AIRights,,
Abstract,Proposition,FieldOfStudy,AISafety,,
Entity,,AIArtifact,AISystem,,
Abstract,Proposition,FieldOfStudy,AIWelfareTheory,,
Object,Artifact,StationaryArtifact,ATMMachine,,
Object,Region,HoleRegion,ATMSlot,,
Process,Motion,BodyMotion,Abducting,,
Process,IntentionalProcess,ScientificReasoningProcess,AbductiveInference,,
Process,IntentionalProcess,LogicalReasoningProcess,AbductiveReasoning,,
Process,InternalChange,ComputerProcess,Abort,,
Process,Motion,Translocation,Accelerating,,
Process,IntentionalProcess,Guiding,AchievingControl,,
Attribute,PhysicalQuantity,UnitOfMeasure,AcidityMeasure,,
Entity,AbstractEntity,ConceptualSpace,ActivationSpace,,
Process,Motion,BodyMotion,Adducting,,
Object,Artifact,Device,Aerator,,
Entity,AbstractEntity,MentalRepresentation,AffectiveState,,
Process,CognitiveProcess,ManipulativeNarrativeProcess,AgendaDiversion,,
Process,CognitiveProcess,InfluenceProcess,AgendaSettingProcess,,
Object,Artifact,Product,AgriculturalProduct,,
Process,IntentionalProcess,Maintaining,Agriculture,,
Object,Artifact,Tube,AirIntake,,
Object,Region,FlowRegion,AirStream,,
Object,Region,Transitway,AirTransitway,,
Object,AutonomousAgent,Organization,AirlineAlliance,,
Attribute,RelationalAttribute,AirportClassification,AirportByRunwaySurface,,
Object,Region,Transitway,Airway,,
Object,Artifact,BeverageArtifact,AlcoholicBeverage,,
Abstract,Proposition,Equation,AlgebraicEquation,,
Entity,AbstractEntity,ComputationalEntity,Algorithm,,
Process,CognitiveProcess,CSReasoningProcess,AlgorithmDesignProcess,,
Process,,,AlignmentProcess,,
Abstract,ScientificEntity,StatisticalHypothesis,AlternativeHypothesis,,
Process,IntentionalProcess,Maneuver,Ambush,,
Attribute,PhysicalQuantity,WaveParameter,Amplitude,,
Attribute,PhysicalQuantity,ConstantQuantity,AngleMeasure,,
Attribute,InternalAttribute,BiologicalAttribute,AnimacyAttribute,,
Object,AutonomousAgent,Organism,Animal,,
